"CONTA";"PO";"FUNCAO";"SUB_FUNCAO";"ANO_FONTE";"FONTE";"FONTE_RJ";"UNIDADE_ORCAMENTARIA";"UNIDADE_GESTORA_DO_SALDO";"NATUREZA_DESPESA_8_DIGITOS";"ACAO";"VALOR"
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"31901600";"2124";119665000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33900800";"2124";96577379
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33901400";"2124";4400000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33903000";"2124";181000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33903100";"2124";250000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33903300";"2124";3200000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33903600";"2124";4020000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33903900";"2124";1805000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33904000";"2124";460000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33904700";"2124";10000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33904900";"2124";5200000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33909300";"2124";45000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"33913900";"2124";5000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"44904000";"2124";150000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"44905200";"2124";935000
"522110101";"1";"03";"092";"1";"501";"230";"09010";"090100";"45906100";"2124";5000
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"31900100";"2660";333208
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"31900700";"2660";1101032
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"31901100";"2660";322817979
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"31901300";"2660";3702646
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"31901600";"2660";37598831
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"31909600";"2660";1433319
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"31911300";"2660";54229539
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"31919600";"2660";7623885
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"33900800";"2660";150000
"522110101";"1";"03";"122";"1";"500";"100";"09010";"090100";"33903900";"0467";1350174
"522110101";"1";"03";"122";"1";"501";"230";"09610";"096100";"33901400";"2016";400000
"522110101";"1";"03";"122";"1";"501";"230";"09610";"096100";"33903000";"2016";800000
