"Unidade Gestora / Conta Corrente";"Conta 721110101 (A)";"Contas 82114 (B)";"Contas 82115 (C)";"Diferença = (A) - (B) - (C) "
"999900";496815291357,04;318635272800,83;159560289171,91;18619729384,3
"   1.5.00.100.0.000000";215210307505,41;108490082675,5;110103589225,45;-3383364395,54
"   1.5.00.100.1.000001";0;0;1693,54;-1693,54
"   1.5.00.100.1.002017";0;0;87213311,43;-87213311,43
"   1.5.00.100.1.007017";0;0;7848;-7848
"   1.5.00.100.1.007526";0;24655036,74;0;-24655036,74
"   1.5.00.100.1.047928";11630,61;20584906,4;11630,61;-20584906,4
"   1.5.00.100.1.202342";16986644,06;16986644,06;0;0
"   1.5.00.100.1.705582";0;129726,3;0;-129726,3
"   1.5.00.100.1.990025";0;0;5760200;-5760200
"   1.5.00.100.2.003953";10123,43;0;10123,43;0
"   1.5.00.100.2.003954";62736,96;0;62736,96;0
"   1.5.00.100.2.003967";17488,08;0;17488,08;0
"   1.5.00.100.2.003970";571348,48;0;553446,44;17902,04
"   1.5.00.100.2.004179";163,2;0;0;163,2
"   1.5.00.100.2.004202";27678,19;0;0;27678,19
"   1.5.00.100.2.004254";136066,04;0;0;136066,04
"   1.5.00.100.2.004528";14996,6;0;0;14996,6
"   1.5.00.100.2.004529";10320,95;0;0;10320,95
"   1.5.00.100.2.004530";28887,56;0;0;28887,56
"   1.5.00.100.2.004612";4042,13;0;0;4042,13
"   1.5.00.100.2.004700";323,45;0;0;323,45
"   1.5.00.100.2.004840";116,28;0;0;116,28
"   1.5.00.100.2.004841";241922,97;0;0;241922,97
"   1.5.00.100.2.004844";1148,77;0;0;1148,77
"   1.5.00.100.2.004961";82919,67;0;0;82919,67
"   1.5.00.100.2.005003";518805,88;0;0;518805,88
"   1.5.00.100.2.005016";144000;0;0;144000
"   1.5.00.100.2.005041";298155,38;0;149077,69;149077,69
"   1.5.00.100.2.005049";105;0;105;0
"   1.5.00.100.2.005109";969271,17;0;0;969271,17
"   1.5.00.100.2.005126";19009;0;0;19009
"   1.5.00.100.2.005475";7636,52;0;0;7636,52
"   1.5.00.100.2.005545";34130;0;0;34130
"   1.5.00.100.2.005592";237167,28;0;0;237167,28
"   1.5.00.100.2.005673";15,01;0;0;15,01
"   1.5.00.100.2.005679";118770,3;0;0;118770,3
"   1.5.00.100.2.005707";710120,69;0;0;710120,69
"   1.5.00.100.2.005753";137102,36;0;0;137102,36
"   1.5.00.100.2.006013";13237,25;0;0;13237,25
"   1.5.00.100.2.006056";0;0;393781,56;-393781,56
"   1.5.00.100.2.006090";94270,76;0;0;94270,76
"   1.5.00.100.2.006165";18944,52;0;0;18944,52
"   1.5.00.100.2.006193";8540,58;0;0;8540,58
"   1.5.00.100.2.006218";150080,4;0;150080,4;0
"   1.5.00.100.2.006222";505,03;0;0;505,03
"   1.5.00.100.2.006349";20772,13;0;0;20772,13
"   1.5.00.100.2.006429";1417,35;0;0;1417,35
"   1.5.00.100.2.006520";6643,03;0;0;6643,03
"   1.5.00.100.2.006566";67502,65;0;0;67502,65
"   1.5.00.100.2.006569";0;0;216458,29;-216458,29
"   1.5.00.100.2.006623";735662,4;0;740100,27;-4437,87
"   1.5.00.100.2.006710";0;0;790560,06;-790560,06
"   1.5.00.100.2.006817";42022,96;0;0;42022,96
"   1.5.00.100.2.006830";70033,2;0;0;70033,2
"   1.5.00.100.2.006999";61470,12;0;0;61470,12
"   1.5.00.100.2.007000";44750;0;0;44750
"   1.5.00.100.2.007002";41760;0;41760;0
"   1.5.00.100.2.007017";3710;0;13529,33;-9819,33
"   1.5.00.100.2.007094";0;0;59462,88;-59462,88
"   1.5.00.100.2.007095";0;0;42000;-42000
"   1.5.00.100.2.007097";0;0;60149,56;-60149,56
"   1.5.00.100.2.007098";0;0;235000;-235000
"   1.5.00.100.2.007099";0;0;63000;-63000
"   1.5.00.100.2.007100";0;0;424363,75;-424363,75
"   1.5.00.100.2.007101";0;0;49200;-49200
"   1.5.00.100.2.007102";0;0;21717;-21717
"   1.5.00.100.2.007103";0;0;76496,6;-76496,6
"   1.5.00.100.2.007108";0;0;69765,15;-69765,15
"   1.5.00.100.2.007109";0;0;17392,5;-17392,5
"   1.5.00.100.2.007110";0;0;38251,8;-38251,8
"   1.5.00.100.2.007111";0;0;79686,72;-79686,72
"   1.5.00.100.2.007112";0;0;30000;-30000
"   1.5.00.100.2.007114";0;0;31999,91;-31999,91
"   1.5.00.100.2.007116";0;0;199023,11;-199023,11
"   1.5.00.100.2.007118";0;0;57041,74;-57041,74
"   1.5.00.100.2.007119";0;0;118329,02;-118329,02
"   1.5.00.100.2.007121";0;0;81411,99;-81411,99
"   1.5.00.100.2.007123";0;0;18769,18;-18769,18
"   1.5.00.100.2.007124";0;0;234486,45;-234486,45
"   1.5.00.100.2.007125";0;0;31200;-31200
"   1.5.00.100.2.007127";0;0;102049,98;-102049,98
"   1.5.00.100.2.007130";0;0;101426,4;-101426,4
"   1.5.00.100.2.007131";0;0;81376,65;-81376,65
"   1.5.00.100.2.007132";0;0;239394,05;-239394,05
"   1.5.00.100.2.007133";0;0;50762,06;-50762,06
"   1.5.00.100.2.007134";0;0;98308,62;-98308,62
"   1.5.00.100.2.007136";0;0;31173;-31173
"   1.5.00.100.2.007137";0;0;52956;-52956
"   1.5.00.100.2.007139";0;0;24000;-24000
"   1.5.00.100.2.007140";0;0;68764,77;-68764,77
"   1.5.00.100.2.007141";0;0;39531,9;-39531,9
"   1.5.00.100.2.007143";0;0;24646,75;-24646,75
"   1.5.00.100.2.007144";0;0;69444,65;-69444,65
"   1.5.00.100.2.007145";0;0;105642,05;-105642,05
"   1.5.00.100.2.007146";0;0;63600;-63600
"   1.5.00.100.2.007147";0;0;242400;-242400
"   1.5.00.100.2.007148";0;0;157316,91;-157316,91
"   1.5.00.100.2.007151";0;0;46500;-46500
"   1.5.00.100.2.007152";0;0;715142,54;-715142,54
"   1.5.00.100.2.007154";0;0;60000;-60000
"   1.5.00.100.2.007155";0;0;89297,92;-89297,92
"   1.5.00.100.2.007156";0;0;179394,75;-179394,75
"   1.5.00.100.2.007158";0;0;139582,64;-139582,64
"   1.5.00.100.2.007160";0;0;120000;-120000
"   1.5.00.100.2.007161";0;0;97243,19;-97243,19
"   1.5.00.100.2.007162";0;0;107477,05;-107477,05
"   1.5.00.100.2.007164";0;0;59998,71;-59998,71
"   1.5.00.100.2.007165";0;0;59214,68;-59214,68
"   1.5.00.100.2.007166";0;0;15948,35;-15948,35
"   1.5.00.100.2.007167";0;0;94859,62;-94859,62
"   1.5.00.100.2.007168";0;0;103473,72;-103473,72
"   1.5.00.100.2.007169";0;0;100000;-100000
"   1.5.00.100.2.007171";66951,36;0;0;66951,36
"   1.5.00.100.2.007172";314575,36;0;750,76;313824,6
"   1.5.00.100.2.007173";200793,38;0;0;200793,38
"   1.5.00.100.2.007176";0;0;57599,91;-57599,91
"   1.5.00.100.2.007177";0;0;60763,2;-60763,2
"   1.5.00.100.2.007178";0;0;107822,85;-107822,85
"   1.5.00.100.2.007179";0;0;64000;-64000
"   1.5.00.100.2.007180";0;0;141843,33;-141843,33
"   1.5.00.100.2.007183";0;0;133762,96;-133762,96
"   1.5.00.100.2.007185";0;0;52744,3;-52744,3
"   1.5.00.100.2.007186";0;0;71854,47;-71854,47
"   1.5.00.100.2.007187";0;0;99448,4;-99448,4
"   1.5.00.100.2.007188";0;0;121291,52;-121291,52
"   1.5.00.100.2.007189";0;0;114317,7;-114317,7
"   1.5.00.100.2.007190";0;0;102225,25;-102225,25
"   1.5.00.100.2.007193";0;0;238754,79;-238754,79
"   1.5.00.100.2.007194";0;0;90000;-90000
"   1.5.00.100.2.007195";0;0;72000;-72000
"   1.5.00.100.2.007199";0;0;72000;-72000
"   1.5.00.100.2.007201";0;0;92715,72;-92715,72
"   1.5.00.100.2.007204";0;0;57187,5;-57187,5
"   1.5.00.100.2.007205";0;0;126645,2;-126645,2
"   1.5.00.100.2.007206";0;0;399547,44;-399547,44
"   1.5.00.100.2.007208";0;0;82306,07;-82306,07
"   1.5.00.100.2.007211";0;0;113050;-113050
"   1.5.00.100.2.007212";0;0;160000;-160000
"   1.5.00.100.2.007213";0;0;125731,5;-125731,5
"   1.5.00.100.2.007215";0;0;31156;-31156
"   1.5.00.100.2.007216";0;0;82092,48;-82092,48
"   1.5.00.100.2.007217";0;0;60000;-60000
"   1.5.00.100.2.007218";0;0;162789,5;-162789,5
"   1.5.00.100.2.007219";0;0;93009,75;-93009,75
"   1.5.00.100.2.007220";0;0;139935;-139935
"   1.5.00.100.2.007221";0;0;132151,26;-132151,26
"   1.5.00.100.2.007222";0;0;60000;-60000
"   1.5.00.100.2.007223";0;0;51451,81;-51451,81
"   1.5.00.100.2.007225";0;0;242814;-242814
"   1.5.00.100.2.007226";0;0;775528,8;-775528,8
"   1.5.00.100.2.007230";0;0;160137,44;-160137,44
"   1.5.00.100.2.007233";0;0;92335,2;-92335,2
"   1.5.00.100.2.007234";24447,06;0;128902,3;-104455,24
"   1.5.00.100.2.007235";0;0;15360;-15360
"   1.5.00.100.2.007236";0;0;104602,21;-104602,21
"   1.5.00.100.2.007237";0;0;60000;-60000
"   1.5.00.100.2.007241";0;0;23830,66;-23830,66
"   1.5.00.100.2.007242";0;0;130866,8;-130866,8
"   1.5.00.100.2.007246";0;0;86402,09;-86402,09
"   1.5.00.100.2.007250";0;0;200000;-200000
"   1.5.00.100.2.007258";67520,35;0;0;67520,35
"   1.5.00.100.2.007259";122560,56;0;0;122560,56
"   1.5.00.100.2.007260";158506,54;0;0;158506,54
"   1.5.00.100.2.007261";97976,49;0;0;97976,49
"   1.5.00.100.2.007262";153311,29;0;0;153311,29
"   1.5.00.100.2.007263";138134,66;0;0;138134,66
"   1.5.00.100.2.007264";79926,78;0;0;79926,78
"   1.5.00.100.2.007270";0;0;40000;-40000
"   1.5.00.100.2.007271";0;0;71291,5;-71291,5
"   1.5.00.100.2.007272";0;0;782699,94;-782699,94
"   1.5.00.100.2.007273";0;0;434714,47;-434714,47
"   1.5.00.100.2.007281";25000;0;0;25000
"   1.5.00.100.2.007283";0;0;70697,5;-70697,5
"   1.5.00.100.2.007285";776083,56;0;776083,56;0
"   1.5.00.100.2.007286";144000;0;144000;0
"   1.5.00.100.2.007289";1119885,45;278574047,42;1119885,45;-278574047,42
"   1.5.00.100.2.007322";152447,41;0;0;152447,41
